Block,Time,clouds_avg_brightness,clouds_avg_hue_deg,clouds_avg_saturation,clouds_bright_pixel_pct,clouds_marker_is_percent,clouds_marker_value,clouds_ocr_rain_mm,clouds_ocr_temp_c,clouds_ocr_wind_gusts,clouds_ocr_wind_speed,day_of_year,hour,is_daylight,minute_of_day,month,motion_coverage_end_pct,motion_coverage_start_pct,motion_coverage_trend,motion_direction_deg,motion_frame_count,motion_speed_kmh,rain_avg_brightness,rain_avg_hue_deg,rain_avg_saturation,rain_bright_pixel_pct,rain_marker_is_percent,rain_marker_value,rain_ocr_rain_mm,rain_ocr_temp_c,rain_ocr_wind_gusts,rain_ocr_wind_speed,satellite_avg_brightness,satellite_avg_hue_deg,satellite_avg_saturation,satellite_bright_pixel_pct,satellite_marker_is_percent,satellite_marker_value,satellite_ocr_rain_mm,satellite_ocr_temp_c,satellite_ocr_wind_gusts,satellite_ocr_wind_speed,solar_elevation_deg,solarpower_avg_brightness,solarpower_avg_hue_deg,solarpower_avg_saturation,solarpower_bright_pixel_pct,solarpower_marker_is_percent,solarpower_marker_value,solarpower_ocr_rain_mm,solarpower_ocr_temp_c,solarpower_ocr_wind_gusts,solarpower_ocr_wind_speed,wind_avg_brightness,wind_avg_hue_deg,wind_avg_saturation,wind_bright_pixel_pct,wind_marker_is_percent,wind_marker_value,wind_ocr_rain_mm,wind_ocr_temp_c,wind_ocr_wind_gusts,wind_ocr_wind_speed,Predicted Generation (MW)
78,2026-07-19 19:15,127.74,98.73,18.47,12.05,200,19,0,1155,7,30.74,30.52,0,-1,167,9.02,112.06,0.15,0.51,2.76,145.13,78.83,44.49,48.23,-7.21,110.42,352.05,68.3,3.08,106.88,223.4,132.63,3.01,0.0
79,2026-07-19 19:30,127.74,98.73,18.47,12.05,200,19,0,1170,7,30.74,30.52,0,-1,167,9.02,112.06,0.15,0.51,2.76,145.13,78.83,44.49,48.23,-10.23,110.42,352.05,68.3,3.08,106.88,223.4,132.63,3.01,0.0
80,2026-07-19 19:45,127.74,98.73,18.47,12.05,200,19,0,1185,7,30.74,30.52,0,-1,167,9.02,112.06,0.15,0.51,2.76,145.13,78.83,44.49,48.23,-13.19,110.42,352.05,68.3,3.08,106.88,223.4,132.63,3.01,0.0
81,2026-07-19 20:00,127.74,98.73,18.47,12.05,200,20,0,1200,7,30.74,30.52,0,-1,167,9.02,112.06,0.15,0.51,2.76,145.13,78.83,44.49,48.23,-16.1,110.42,352.05,68.3,3.08,106.88,223.4,132.63,3.01,0.0
82,2026-07-19 20:15,127.74,98.73,18.47,12.05,200,20,0,1215,7,30.74,30.52,0,-1,167,9.02,112.06,0.15,0.51,2.76,145.13,78.83,44.49,48.23,-18.94,110.42,352.05,68.3,3.08,106.88,223.4,132.63,3.01,0.0
83,2026-07-19 20:30,127.74,98.73,18.47,12.05,200,20,0,1230,7,30.74,30.52,0,-1,167,9.02,112.06,0.15,0.51,2.76,145.13,78.83,44.49,48.23,-21.7,110.42,352.05,68.3,3.08,106.88,223.4,132.63,3.01,0.0
84,2026-07-19 20:45,127.74,98.73,18.47,12.05,200,20,0,1245,7,30.74,30.52,0,-1,167,9.02,112.06,0.15,0.51,2.76,145.13,78.83,44.49,48.23,-24.38,110.42,352.05,68.3,3.08,106.88,223.4,132.63,3.01,0.0
85,2026-07-19 21:00,127.74,98.73,18.47,12.05,200,21,0,1260,7,30.74,30.52,0,-1,167,9.02,112.06,0.15,0.51,2.76,145.13,78.83,44.49,48.23,-26.96,110.42,352.05,68.3,3.08,106.88,223.4,132.63,3.01,0.0
76,2026-07-20 18:45,154.27,153.75,38.47,43.07,None,None,None,None,None,None,201,18,0,1125,7,1.51,1.52,0,-1,167,0.05,116.79,198.11,106.43,9.12,None,None,None,None,None,None,55.3,79.92,246.23,1.47,False,7.0,None,None,None,None,-1.12,110.34,355.11,157.41,2.5,False,38.0,None,None,None,None,119.8,199.18,141.16,2.63,None,None,None,None,None,None,0.0
77,2026-07-20 19:00,154.27,153.75,38.47,43.07,None,None,None,None,None,None,201,19,0,1140,7,1.51,1.52,0,-1,167,0.05,116.79,198.11,106.43,9.12,None,None,None,None,None,None,55.3,79.92,246.23,1.47,False,7.0,None,None,None,None,-4.23,110.34,355.11,157.41,2.5,False,38.0,None,None,None,None,119.8,199.18,141.16,2.63,None,None,None,None,None,None,0.0
78,2026-07-20 19:15,133.37,177.26,63.39,15.51,None,None,None,None,None,None,201,19,0,1155,7,41.91,1.51,1,-1,167,32.79,124.81,187.08,130.75,13.45,False,2.0,None,None,None,None,56.37,78.73,241.13,1.9,False,7.0,None,None,None,3.0,-7.3,108.33,351.6,73.36,2.37,False,7.0,None,None,None,None,107.66,208.16,146.5,2.42,False,4.0,None,None,None,None,0.0
79,2026-07-20 19:30,133.37,177.26,63.39,15.51,None,None,None,None,None,None,201,19,0,1170,7,41.91,1.51,1,-1,167,32.79,124.81,187.08,130.75,13.45,False,2.0,None,None,None,None,56.37,78.73,241.13,1.9,False,7.0,None,None,None,3.0,-10.32,108.33,351.6,73.36,2.37,False,7.0,None,None,None,None,107.66,208.16,146.5,2.42,False,4.0,None,None,None,None,0.0
80,2026-07-20 19:45,133.37,177.26,63.39,15.51,None,None,None,None,None,None,201,19,0,1185,7,41.91,1.51,1,-1,167,32.79,124.81,187.08,130.75,13.45,False,2.0,None,None,None,None,56.37,78.73,241.13,1.9,False,7.0,None,None,None,3.0,-13.29,108.33,351.6,73.36,2.37,False,7.0,None,None,None,None,107.66,208.16,146.5,2.42,False,4.0,None,None,None,None,0.0
81,2026-07-20 20:00,133.37,177.26,63.39,15.51,None,None,None,None,None,None,201,20,0,1200,7,41.91,1.51,1,-1,167,32.79,124.81,187.08,130.75,13.45,False,2.0,None,None,None,None,56.37,78.73,241.13,1.9,False,7.0,None,None,None,3.0,-16.2,108.33,351.6,73.36,2.37,False,7.0,None,None,None,None,107.66,208.16,146.5,2.42,False,4.0,None,None,None,None,0.0
82,2026-07-20 20:15,133.37,177.26,63.39,15.51,None,None,None,None,None,None,201,20,0,1215,7,41.91,1.51,1,-1,167,32.79,124.81,187.08,130.75,13.45,False,2.0,None,None,None,None,56.37,78.73,241.13,1.9,False,7.0,None,None,None,3.0,-19.05,108.33,351.6,73.36,2.37,False,7.0,None,None,None,None,107.66,208.16,146.5,2.42,False,4.0,None,None,None,None,0.0
83,2026-07-20 20:30,133.37,177.26,63.39,15.51,None,None,None,None,None,None,201,20,0,1230,7,41.91,1.51,1,-1,167,32.79,124.81,187.08,130.75,13.45,False,2.0,None,None,None,None,56.37,78.73,241.13,1.9,False,7.0,None,None,None,3.0,-21.82,108.33,351.6,73.36,2.37,False,7.0,None,None,None,None,107.66,208.16,146.5,2.42,False,4.0,None,None,None,None,0.0
84,2026-07-20 20:45,133.37,177.26,63.39,15.51,None,None,None,None,None,None,201,20,0,1245,7,41.91,1.51,1,-1,167,32.79,124.81,187.08,130.75,13.45,False,2.0,None,None,None,None,56.37,78.73,241.13,1.9,False,7.0,None,None,None,3.0,-24.5,108.33,351.6,73.36,2.37,False,7.0,None,None,None,None,107.66,208.16,146.5,2.42,False,4.0,None,None,None,None,0.0
85,2026-07-20 21:00,133.37,177.26,63.39,15.51,None,None,None,None,None,None,201,21,0,1260,7,41.91,1.51,1,-1,167,32.79,124.81,187.08,130.75,13.45,False,2.0,None,None,None,None,56.37,78.73,241.13,1.9,False,7.0,None,None,None,3.0,-27.09,108.33,351.6,73.36,2.37,False,7.0,None,None,None,None,107.66,208.16,146.5,2.42,False,4.0,None,None,None,None,0.0
86,2026-07-20 21:15,138.91,177.86,71.77,13.65,False,2.0,None,None,2.0,41.0,201,21,0,1275,7,96.46,1.51,1,-1,167,0.0,123.22,188.91,141.38,9.76,None,None,0.05,30.0,6.0,1.0,58.23,68.32,202.45,2.4,False,7.0,0.01,26.0,None,2.0,-29.57,109.88,0.15,0.51,2.21,False,2.0,9.01,30.0,9.0,1.0,115.45,202.25,144.24,2.52,False,3.0,0.01,30.0,9.0,11.0,0.0
87,2026-07-20 21:30,138.91,177.86,71.77,13.65,False,2.0,None,None,2.0,41.0,201,21,0,1290,7,96.46,1.51,1,-1,167,0.0,123.22,188.91,141.38,9.76,None,None,0.05,30.0,6.0,1.0,58.23,68.32,202.45,2.4,False,7.0,0.01,26.0,None,2.0,-31.92,109.88,0.15,0.51,2.21,False,2.0,9.01,30.0,9.0,1.0,115.45,202.25,144.24,2.52,False,3.0,0.01,30.0,9.0,11.0,0.0
88,2026-07-20 21:45,139.04,177.72,73.25,13.77,None,None,0.01,30.0,None,11.0,201,21,0,1305,7,96.11,1.51,1,-1,167,0.0,123.22,188.91,141.36,9.77,False,2.0,0.05,30.0,6.0,1.0,58.15,68.34,202.76,2.34,False,7.0,None,28.0,None,None,-34.14,109.94,0.15,0.51,2.24,False,7.0,1.01,30.0,9.0,1.0,115.77,202.16,144.04,2.57,None,None,0.05,30.0,6.0,1.0,0.0
89,2026-07-20 22:00,139.04,177.72,73.25,13.77,None,None,0.01,30.0,None,11.0,201,22,0,1320,7,96.11,1.51,1,-1,167,0.0,123.22,188.91,141.36,9.77,False,2.0,0.05,30.0,6.0,1.0,58.15,68.34,202.76,2.34,False,7.0,None,28.0,None,None,-36.2,109.94,0.15,0.51,2.24,False,7.0,1.01,30.0,9.0,1.0,115.77,202.16,144.04,2.57,None,None,0.05,30.0,6.0,1.0,0.0
90,2026-07-20 22:15,139.04,177.72,73.25,13.77,None,None,0.01,30.0,None,11.0,201,22,0,1335,7,96.11,1.51,1,-1,167,0.0,123.22,188.91,141.36,9.77,False,2.0,0.05,30.0,6.0,1.0,58.15,68.34,202.76,2.34,False,7.0,None,28.0,None,None,-38.09,109.94,0.15,0.51,2.24,False,7.0,1.01,30.0,9.0,1.0,115.77,202.16,144.04,2.57,None,None,0.05,30.0,6.0,1.0,0.0
91,2026-07-20 22:30,139.04,177.72,73.25,13.77,None,None,0.01,30.0,None,11.0,201,22,0,1350,7,96.11,1.51,1,-1,167,0.0,123.22,188.91,141.36,9.77,False,2.0,0.05,30.0,6.0,1.0,58.15,68.34,202.76,2.34,False,7.0,None,28.0,None,None,-39.78,109.94,0.15,0.51,2.24,False,7.0,1.01,30.0,9.0,1.0,115.77,202.16,144.04,2.57,None,None,0.05,30.0,6.0,1.0,0.0
92,2026-07-20 22:45,139.04,177.72,73.25,13.77,None,None,0.01,30.0,None,11.0,201,22,0,1365,7,96.11,1.51,1,-1,167,0.0,123.22,188.91,141.36,9.77,False,2.0,0.05,30.0,6.0,1.0,58.15,68.34,202.76,2.34,False,7.0,None,28.0,None,None,-41.26,109.94,0.15,0.51,2.24,False,7.0,1.01,30.0,9.0,1.0,115.77,202.16,144.04,2.57,None,None,0.05,30.0,6.0,1.0,0.0
93,2026-07-20 23:00,139.04,177.72,73.25,13.77,None,None,0.01,30.0,None,11.0,201,23,0,1380,7,96.11,1.51,1,-1,167,0.0,123.22,188.91,141.36,9.77,False,2.0,0.05,30.0,6.0,1.0,58.15,68.34,202.76,2.34,False,7.0,None,28.0,None,None,-42.5,109.94,0.15,0.51,2.24,False,7.0,1.01,30.0,9.0,1.0,115.77,202.16,144.04,2.57,None,None,0.05,30.0,6.0,1.0,0.0
94,2026-07-20 23:15,173.92,128.18,61.23,60.48,None,None,0.05,4.0,6.0,1.0,201,23,0,1395,7,1.51,1.51,0,-1,167,0.0,118.63,193.79,144.42,5.02,None,None,0.05,30.0,6.0,1.0,55.35,79.9,246.17,1.49,False,7.0,None,28.0,None,None,-43.5,109.98,0.15,0.51,2.25,False,7.0,1.01,30.0,9.0,1.0,125.3,194.53,136.63,2.72,False,8.0,0.05,30.0,6.0,1.0,0.0
95,2026-07-20 23:30,173.23,130.04,62.17,59.64,None,None,0.01,30.0,9.0,11.0,201,23,0,1410,7,1.52,1.62,0,-1,167,0.0,118.8,193.59,144.33,5.1,None,None,0.01,30.0,9.0,11.0,58.15,68.33,202.51,2.35,False,7.0,0.04,5.0,3.0,3.0,-44.22,110.09,0.15,0.51,2.33,False,7.0,1.01,30.0,9.0,1.0,125.19,194.56,136.67,2.72,False,4.0,0.01,30.0,9.0,11.0,0.0
96,2026-07-20 23:45,159.48,97.46,48.89,53.53,None,None,0.05,30.0,6.0,1.0,201,23,0,1425,7,1.52,1.52,0,-1,167,0.0,118.62,193.79,144.42,4.94,None,None,0.01,30.0,9.0,113.0,55.38,79.91,246.03,1.48,False,7.0,0.04,28.0,8.0,3.0,-44.65,110.04,0.15,0.51,2.29,False,2.0,1.01,30.0,9.0,1.0,116.39,197.73,113.91,3.25,False,5.0,0.01,30.0,9.0,113.0,0.0
1,2026-07-21 00:00,159.48,97.46,48.89,53.53,None,None,0.05,30.0,6.0,1.0,202,0,0,0,7,1.52,1.52,0,-1,167,0.0,118.62,193.79,144.42,4.94,None,None,0.01,30.0,9.0,113.0,55.38,79.91,246.03,1.48,False,7.0,0.04,28.0,8.0,3.0,-45.0,110.04,0.15,0.51,2.29,False,2.0,1.01,30.0,9.0,1.0,116.39,197.73,113.91,3.25,False,5.0,0.01,30.0,9.0,113.0,0.0
2,2026-07-21 00:15,159.48,97.46,48.89,53.53,None,None,0.05,30.0,6.0,1.0,202,0,0,15,7,1.52,1.52,0,-1,167,0.0,118.62,193.79,144.42,4.94,None,None,0.01,30.0,9.0,113.0,55.38,79.91,246.03,1.48,False,7.0,0.04,28.0,8.0,3.0,-44.85,110.04,0.15,0.51,2.29,False,2.0,1.01,30.0,9.0,1.0,116.39,197.73,113.91,3.25,False,5.0,0.01,30.0,9.0,113.0,0.0
3,2026-07-21 00:30,159.48,97.46,48.89,53.53,None,None,0.05,30.0,6.0,1.0,202,0,0,30,7,1.52,1.52,0,-1,167,0.0,118.62,193.79,144.42,4.94,None,None,0.01,30.0,9.0,113.0,55.38,79.91,246.03,1.48,False,7.0,0.04,28.0,8.0,3.0,-44.41,110.04,0.15,0.51,2.29,False,2.0,1.01,30.0,9.0,1.0,116.39,197.73,113.91,3.25,False,5.0,0.01,30.0,9.0,113.0,0.0
4,2026-07-21 00:45,159.48,97.46,48.89,53.53,None,None,0.05,30.0,6.0,1.0,202,0,0,45,7,1.52,1.52,0,-1,167,0.0,118.62,193.79,144.42,4.94,None,None,0.01,30.0,9.0,113.0,55.38,79.91,246.03,1.48,False,7.0,0.04,28.0,8.0,3.0,-43.68,110.04,0.15,0.51,2.29,False,2.0,1.01,30.0,9.0,1.0,116.39,197.73,113.91,3.25,False,5.0,0.01,30.0,9.0,113.0,0.0
5,2026-07-21 01:00,159.48,97.46,48.89,53.53,None,None,0.05,30.0,6.0,1.0,202,1,0,60,7,1.52,1.52,0,-1,167,0.0,118.62,193.79,144.42,4.94,None,None,0.01,30.0,9.0,113.0,55.38,79.91,246.03,1.48,False,7.0,0.04,28.0,8.0,3.0,-42.69,110.04,0.15,0.51,2.29,False,2.0,1.01,30.0,9.0,1.0,116.39,197.73,113.91,3.25,False,5.0,0.01,30.0,9.0,113.0,0.0
6,2026-07-21 01:15,159.48,97.46,48.89,53.53,None,None,0.05,30.0,6.0,1.0,202,1,0,75,7,1.52,1.52,0,-1,167,0.0,118.62,193.79,144.42,4.94,None,None,0.01,30.0,9.0,113.0,55.38,79.91,246.03,1.48,False,7.0,0.04,28.0,8.0,3.0,-41.44,110.04,0.15,0.51,2.29,False,2.0,1.01,30.0,9.0,1.0,116.39,197.73,113.91,3.25,False,5.0,0.01,30.0,9.0,113.0,0.0
7,2026-07-21 01:30,159.48,97.46,48.89,53.53,None,None,0.05,30.0,6.0,1.0,202,1,0,90,7,1.52,1.52,0,-1,167,0.0,118.62,193.79,144.42,4.94,None,None,0.01,30.0,9.0,113.0,55.38,79.91,246.03,1.48,False,7.0,0.04,28.0,8.0,3.0,-39.95,110.04,0.15,0.51,2.29,False,2.0,1.01,30.0,9.0,1.0,116.39,197.73,113.91,3.25,False,5.0,0.01,30.0,9.0,113.0,0.0
